1856,1913
1916,1826
2056,1930
2000,2013
536,546
940,813
1133,966
330,403
330,820
603,1473
1033,1570
443,2096
646,1976
2113,1043
2120,2763
2063,2760
2563,2370
2516,2346
336,896
566,1530
1720,1820
920,316
2353,1033
2266,936
2616,623
2556,516
2520,676
2180,890
883,300
1360,1213
1403,1290
1163,1336
2706,1110
2560,1106
2143,2516
366,2036
326,1976
566,1770
953,1556
1590,656
3026,1733
2903,1406
1743,1880
1310,2166
783,1106
1240,406
1180,296
1206,1620
2656,2523
2723,1830
1900,696
1810,740
2106,1946
2980,1106
3380,1083
3570,1133
3426,1216
3550,1663
2916,1776
2266,1733
1816,2473
750,2843
933,1393
3406,1913
2110,940
2570,986
2966,2360
3356,2093
1193,506
1330,2746
2583,673
2453,240
3656,1790
2816,2460
3316,2363
1320,1960
1223,2013
796,1003
2193,2076
1636,1066
2883,390
1673,2556
1176,2676
1120,2563
840,2643
773,2510
496,1410
2373,283
2290,186
2713,1826
3483,1290
2456,1966
2616,2263
2836,1076
2706,856
1436,1530
3156,893
1376,376
1886,1750
3203,1456
2026,1376
2403,1650
1736,1560
3606,2036
2070,2796
2613,2483
3396,2726
2203,2370
2430,1173
1213,2136
1273,2303
2890,930
2846,850
2310,706
3483,626
3620,476
1473,330
443,2316
1803,1680
1156,1666
3656,2423
3090,1413
2730,2293
2390,2716
3066,2360
2206,1366
2740,283
2840,223
2030,1076
