291,331
303,316
330,335
318,350
44,73
125,121
160,151
5,44
6,122
57,246
138,266
25,365
64,342
341,166
341,492
330,492
425,418
415,413
7,139
50,257
266,313
118,31
387,168
369,148
437,90
425,70
418,99
353,139
110,27
200,200
209,214
162,223
453,181
425,180
346,446
11,354
4,342
51,303
124,263
242,96
514,303
490,237
270,326
189,380
92,178
177,49
166,28
172,277
443,448
457,320
300,103
284,111
337,339
505,180
581,174
617,185
589,201
613,285
492,307
370,298
282,435
80,505
117,233
585,333
340,148
427,157
501,417
575,366
169,66
192,488
430,99
408,15
636,311
472,436
569,418
191,339
173,349
96,158
354,362
251,171
486,42
256,453
163,475
151,453
99,468
87,442
38,235
391,24
375,6
453,316
600,214
405,342
435,397
477,172
454,132
212,260
537,140
204,43
297,301
547,246
326,230
394,281
269,264
625,359
331,499
435,439
586,491
356,419
401,193
170,372
182,404
487,147
479,132
378,104
602,89
630,60
222,33
25,406
282,288
160,283
636,432
525,237
456,404
392,484
518,415
357,228
459,24
478,13
325,174
